t,macro,phase,capacity_blocked,samples,elastic_energy,kinetic_energy,affine_kinetic_energy,total_energy,mass,grown_rest_area,max_speed,max_volumetric_pressure,min_elastic_det,min_triangle_area,inverted_triangles,min_triangle_quality,max_edge,min_weight,max_hardening
0.027375,54,physics,0,990,750.4162590951562,8975.197369456402,131.35884378493125,9856.97247233649,1333.4219943151393,0.0005387733236283046,7.324569298490537,87.13637111013855,0.9686496636679623,9.614075935360231e-08,0,0.043955222300137285,0.0038536800474408264,0.003674294101074338,1.001009735285106
0.0274375,54,physics,0,990,776.5521394421933,9156.688246468168,131.86796882186653,10065.108354732229,1343.455687693262,0.0005428274687921352,7.370416228886708,87.06840453092678,0.9686742010282178,9.68432436465604e-08,0,0.043651185766024996,0.003880800151420455,0.003674294101074338,1.0010152841296462
0.0275,54,physics,0,990,803.6258065558654,9340.77135401002,132.21423893533233,10276.611399501217,1353.5649933800573,0.0005469121653455668,7.4156547021276635,87.39791732406447,0.9685539388136182,9.759375885209927e-08,0,0.04337627066481808,0.003908158698686692,0.003674294101074338,1.0010181480614435
0.0275,55,refine,0,1073,803.6258065558654,9340.771354010021,132.21423893533233,10276.611399501218,1353.5649933800573,0.0005469121653455668,7.4156547021276635,87.39791732406447,0.9685539388136182,7.119714151571088e-08,0,0.04683538978136192,0.003680212558316977,0.002696639159694314,1.0010181480614435
0.0275625,55,physics,0,1073,831.3703397675288,9527.652711617931,132.72155846797008,10491.744609853431,1363.7503345522198,0.0005510275842744649,7.460608502020699,88.35201637426485,0.9682104456754699,7.172229743446229e-08,0,0.046505888431996455,0.003706021097540321,0.002696639159694314,1.0010204750120621
0.027625,55,physics,0,1073,859.7002955245292,9718.669612851565,133.56342689024356,10711.933335266338,1374.0122686688335,0.0005551739508219148,7.507339960243436,89.9771807971705,0.9676257891749911,7.222070408374752e-08,0,0.04617067466610669,0.0037320676132643294,0.002696639159694314,1.0010254869240742
0.0276875,55,physics,0,1073,888.8482368746294,9914.098816179294,134.59040981042142,10937.537462864346,1384.3513834221012,0.0005593515024467873,7.555862427731378,92.17130012308988,0.9668362398889291,7.269175394952752e-08,0,0.04583887988738756,0.0037582333449755214,0.002696639159694314,1.0010287088807617
0.02775,55,physics,0,1073,919.1507796914312,10114.375954888897,135.53944749759538,11169.066182077924,1394.76830349673,0.0005635604915548908,7.606504440661301,94.67908727081951,0.9659340029421981,7.319433681374221e-08,0,0.04550993611066022,0.003784637715697253,0.002696639159694314,1.001032646841907
0.0278125,55,physics,0,1073,950.7269318178554,10319.673017939971,136.2957533740369,11406.695703131863,1405.263141373293,0.0005678009635943528,7.658885480228101,97.18751720254538,0.9650316202009412,7.36991090377615e-08,0,0.04517095493345305,0.003811696516214595,0.002696639159694314,1.0010365848185443
0.027875,55,physics,0,1073,983.4082366597806,10529.889671512174,136.99889370339952,11650.296801875355,1415.8365044887262,0.0005720731640019663,7.712226397226096,99.390108718787,0.964239229429697,7.420477921016294e-08,0,0.04484561356910786,0.0038400346992464598,0.002696639159694314,1.0010392698114972
