t,macro,phase,capacity_blocked,samples,elastic_energy,kinetic_energy,affine_kinetic_energy,total_energy,mass,grown_rest_area,max_speed,max_volumetric_pressure,min_elastic_det,min_triangle_area,inverted_triangles,min_triangle_quality,max_edge,min_weight,max_hardening
0.0005,1,refine,0,10,3.428147759840923,1.612045169108397,15.676023015711841,20.716215944661162,53.09103150557347,2.145142702086103e-05,0.33315095855377286,-35.55529258818702,1.0127999511078578,2.1723048018174028e-06,0,0.8273204484547533,0.002808916173734184,0.49999263882637024,0.9999978542350902
0.0005625000000000001,1,physics,0,10,4.369467149541002,1.0538417048863584,10.200259011400819,15.623567865828178,53.49061030011766,2.1612876800742375e-05,0.25511220148910085,-33.22659852446963,1.011961618246813,2.1867977233469543e-06,0,0.8213922737032586,0.0028373998150193263,0.49999263882637024,0.9999978542350902
0.000625,1,physics,0,10,3.9578579211922977,0.5781123190219261,5.69737751479543,10.233347755009653,53.89319853603351,2.177554254516852e-05,0.1708687974610935,-20.22858968558576,1.0072823417696417,2.1931489433413293e-06,0,0.8164348743163544,0.0028573899404962123,0.49999263882637024,0.9999978542350902
0.0006875,1,physics,0,10,3.2402121168586104,0.25861940283540064,2.606766567319799,6.10559808701381,54.29882004853252,2.193943388475476e-05,0.10340846480642137,-0.8353710233599915,1.0003007355043285,2.194397222154976e-06,0,0.812816567975325,0.002869839887188767,0.49999263882637024,0.9999978542350902
0.00075,1,physics,0,10,3.212954258104826,0.08707239966525389,0.8416070360868163,4.141633693856896,54.707492712344646,2.2104558041784305e-05,0.068500735967239,18.723923401738848,0.9932593417732322,2.1953640967353745e-06,0,0.8106206417876036,0.0028776292477329757,0.49999263882637024,0.9999978542350902
0.0008125000000000001,1,physics,0,10,3.5566076118325887,0.09152180469164464,0.8628730172703529,4.511002433794586,55.11923440214869,2.2270922238519684e-05,0.07397709145312294,32.35035772172383,0.9883538050281159,2.200953784559089e-06,0,0.8096136743133708,0.002884518868860975,0.49999263882637024,0.9999957084747848
0.000875,1,physics,0,10,3.2897606854694406,0.3253349827383658,3.254915827376413,6.87001149558422,55.53408087378668,2.2438540922106e-05,0.11463162543190199,35.91500910799449,0.9870705319861508,2.214639897246686e-06,0,0.8093956826713593,0.002894141380159538,0.49999263882637024,0.9999964237277084
0.0009375,1,physics,0,10,2.352531862450557,0.7499395201740957,7.430085756082953,10.532557138707606,55.95204404139619,2.2607418906449597e-05,0.17371716195111891,28.377512619941832,0.9897840333472653,2.2374449670792295e-06,0,0.8093671958669849,0.0029090306190073236,0.49999263882637024,0.9999964237277084
0.001,1,physics,0,10,1.9834523622166798,1.1850662045045177,11.351120384697262,14.519638951418461,56.37315370026951,2.2777568230335915e-05,0.23359342615978246,12.053835751892736,0.9956605911953251,2.267598187444267e-06,0,0.8089129304080157,0.0029299980947728173,0.49999263882637024,0.9999978542350902
0.001,2,refine,0,10,1.9834523622166798,1.1850662045045177,11.351120384697262,14.519638951418461,56.37315370026951,2.2777568230335915e-05,0.23359342615978246,12.053835751892736,0.9956605911953251,2.267598187444267e-06,0,0.8089129304080157,0.0029299980947728173,0.49999263882637024,0.9999978542350902
0.0010625,2,physics,0,10,3.22368089172329,1.4286196734229657,13.04700714665434,17.699307711800593,56.79743964561364,2.2949000932515966e-05,0.27934490876433044,-8.004120996792112,1.0028815072604156,2.3012348178141876e-06,0,0.8074714644793788,0.0029563062247528926,0.49999263882637024,0.9999985694895486
0.0011250000000000001,2,physics,0,10,5.263725476488804,1.4418749720355304,12.482805299029074,19.18840574755341,57.22491379138713,2.312172182682374e-05,0.3021206516958831,-25.440987654249685,1.009158811237945,2.33311302899608e-06,0,0.8046719702746021,0.0029859655622461907,0.49999263882637024,1.0
0.0011875,2,physics,0,10,5.897775986199295,1.3795984674821649,11.561151956531138,18.838526410212598,57.655605932664805,2.3295742951956832e-05,0.3012598009974414,-34.60577186175564,1.0124581580668952,2.358434429083898e-06,0,0.8003409595907216,0.0030163291064791617,0.49999263882637024,1.000002503398214
0.00125,2,physics,0,10,3.9957571265915997,1.3990865519995144,11.948769006307888,17.343612684899,58.08953990405705,2.347107393828766e-05,0.28362422350115835,-32.52023226056395,1.0117073547904845,2.374451350206639e-06,0,0.7946429287182761,0.003045438491173773,0.49999263882637024,1.0000044703583502
0.0013125,2,physics,0,10,1.1542676788818926,1.4695820363299972,13.132714931012542,15.756564646224431,58.526739540106036,2.364772441616107e-05,0.25991888572036514,-19.95113206282406,1.0071824640526792,2.381623671610098e-06,0,0.7879988492124673,0.003072057743998982,0.49999263882637024,1.000002861027042
0.001375,2,physics,0,10,0.27749755806458015,1.4287184657197025,13.093416500267347,14.79963252405163,58.96723463565638,2.3825706424181646e-05,0.23999673358816767,-1.0957566340462725,1.000394476056206,2.3834452491655586e-06,0,0.7810164975423768,0.0030963356017337596,0.49999263882637024,1.000002145769514
0.0014375,2,physics,0,10,2.4889630324417977,1.2132499017639102,10.865726525079339,14.567939459285046,59.41103710436821,2.4005024776062798e-05,0.22996209202153808,17.974700864783745,0.9935290544625162,2.384791159215636e-06,0,0.7744144097534025,0.0031192056377567106,0.49999263882637024,1.0000046491730998
0.0015,2,physics,0,10,5.832256820286899,0.9709781634880006,7.963995947994089,14.767230931768989,59.85818270131615,2.4185693918639563e-05,0.23156261290284327,31.35458335639828,0.9887122248508783,2.3910818978123424e-06,0,0.7687815228708205,0.0031420565653277697,0.49999263882637024,1.0000062585072858
0.0015,3,refine,0,10,5.832256820286899,0.9709781634880006,7.963995947994089,14.767230931768989,59.85818270131615,2.4185693918639563e-05,0.23156261290284327,31.35458335639828,0.9887122248508783,2.3910818978123424e-06,0,0.7687815228708205,0.0031420565653277697,0.49999263882637024,1.0000062585072858
0.0015625,3,physics,0,10,7.161093394327968,0.9239669534751831,7.005615528288377,15.090675876091527,60.30869526075673,2.436772348214138e-05,0.24155410406596892,35.01914626746913,0.9873929886683097,2.4058443379715266e-06,0,0.7645500788797382,0.0031658011525127388,0.49999263882637024,1.0000051856175407
0.0016250000000000001,3,physics,0,10,5.230995328981946,1.1361258581242677,8.984537012974187,15.3516582000804,60.76259861687826,2.4551123096770132e-05,0.2519892319689678,27.8999673730028,0.9899558789103498,2.4300856704684284e-06,0,0.7619217925001659,0.0031906891712174495,0.49999263882637024,1.0000060796922483
0.0016875,3,physics,0,10,1.91214399757809,1.4191334030695961,12.015282633717323,15.346560034365009,61.21992256415022,2.473590480097881e-05,0.2534201882433929,12.110374821660749,0.9956402260849601,2.462546854431478e-06,0,0.7606837474714396,0.0032160432355906234,0.49999263882637024,1.0000030398415038
0.00175,3,physics,0,10,0.36412422388836874,1.4766094357368424,12.907512288586245,14.748245948211457,61.68068497626658,2.492207581663204e-05,0.23957903506714748,-7.5757051918789875,1.0027272802034373,2.498777954329512e-06,0,0.7604022911882308,0.0032404779530309674,0.49999263882637024,1.000002145769514
0.0018125,3,physics,0,10,1.9242359634098767,1.1757136628851625,10.18919944815917,13.28914907445421,62.144915647551876,2.5109648182124246e-05,0.21093848652268316,-25.021026378782373,1.0090076435878976,2.5333335900157277e-06,0,0.7604542810260698,0.0032625947301264803,0.49999263882637024,1.000002503398214
0.001875,3,physics,0,10,4.8454082612026115,0.6949659033487863,5.635230660915136,11.175604825466534,62.61263841190877,2.52986315275419e-05,0.17597863084442944,-34.58610782623736,1.0124511012328226,2.561141341672622e-06,0,0.7601495791091066,0.003281411110834466,0.49999263882637024,1.000002145769514
0.0019375,3,physics,0,10,6.251090410019926,0.3779038376520499,2.6670253648815314,9.296019612553508,63.083877103171716,2.5489035482943894e-05,0.14951867425421392,-33.055697703743306,1.0119001405452719,2.5790270150594076e-06,0,0.7588992108215659,0.003297206341815574,0.49999263882637024,1.0000003576279326
0.002,3,physics,0,10,5.172259677459957,0.42933990182769355,3.250280910080877,8.851880489368527,63.55867343609113,2.568087690317179e-05,0.14685881205571674,-20.828314847889974,1.0074982550214409,2.5871487991935257e-06,0,0.7561816704220107,0.003311800886547179,0.49999263882637024,1.000001788140942
0.002,4,refine,0,10,5.172259677459957,0.42933990182769355,3.250280910080877,8.851880489368527,63.55867343609113,2.568087690317179e-05,0.14685881205571674,-20.828314847889974,1.0074982550214409,2.5871487991935257e-06,0,0.7561816704220107,0.003311800886547179,0.49999263882637024,1.000001788140942
